"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.652344917E0,-1.062032235E1,2.931309779E0,9.417408586E-2,1.101783520E1
1.662287917E0,-8.672178612E0,2.953056451E0,-1.469937390E0,9.278358702E0
1.672230917E0,-6.202963176E0,1.866208165E0,-9.902133992E-1,6.552862555E0
1.682173917E0,-5.100450200E0,-1.751241088E-2,-5.072678849E-1,5.125643338E0
1.692116917E0,-4.639235862E0,-2.925720133E0,-1.279642096E0,5.632036184E0
1.702059917E0,-2.227060016E0,-7.132506158E0,-2.586601213E0,7.907145265E0
1.712002917E0,8.412324840E-1,-1.011087667E1,-3.905446843E0,1.087152308E1
1.721945917E0,3.557454774E0,-1.030094977E1,-4.333280596E0,1.172784598E1
1.731888917E0,6.471276700E0,-8.896137496E0,-3.774258713E0,1.163029292E1
1.741831917E0,9.546213391E0,-6.957905960E0,-4.343366166E0,1.258600314E1
1.751774917E0,1.262378542E1,-2.273037842E0,-4.990731291E0,1.376350458E1
1.761717917E0,1.452369665E1,-3.772670317E-1,-4.088849440E0,1.509300449E1
1.771661917E0,1.519301222E1,-3.318180862E-1,-4.376623374E0,1.581431490E1
1.781604917E0,1.532866294E1,-3.794547674E-1,-4.446930588E0,1.596518353E1
1.791547917E0,1.250291880E1,-1.164469489E0,-8.646890574E0,1.524623508E1
1.801490917E0,4.831373030E0,-3.341920850E0,-1.716489214E1,1.814232958E1
1.811433917E0,1.092411911E-1,-1.694639163E0,-8.367180242E0,8.537765559E0
1.821376917E0,2.398288125E-1,1.443262392E0,2.621344784E0,3.001994782E0
1.831319917E0,-6.900831288E-1,3.868772814E0,6.826074636E0,7.876478448E0
1.841262917E0,-7.295402570E0,6.337153852E0,1.228761145E1,1.563226832E1
1.851205917E0,-1.320014547E1,9.125841270E0,8.477674491E0,1.814926401E1
1.861148917E0,-1.506216790E1,6.520642987E0,1.063105082E0,1.644742774E1
1.871091917E0,-1.339525185E1,7.417543888E0,4.030697126E0,1.583348505E1
1.881034917E0,-9.732770560E0,9.978885130E0,1.352271881E1,1.942083663E1
1.890977917E0,-8.927443489E0,3.763193734E0,1.168268542E1,1.517715431E1
1.900920917E0,-8.700057551E0,-5.947606498E-1,8.813285959E0,1.239833662E1
1.910863917E0,-8.701790081E0,-3.447321882E0,6.551167792E0,1.142466534E1
1.920806917E0,-7.346492032E0,-5.526190649E0,2.952785725E0,9.655499563E0
1.930749917E0,-4.952781107E0,-5.533126616E0,-3.480160430E-1,7.434154022E0
1.940692917E0,-1.227790157E0,-4.088795938E0,-2.824667675E0,5.119030022E0
1.950635917E0,3.041622180E0,-3.015703227E0,-4.208072705E0,6.004482270E0
1.960578917E0,6.163626033E0,-2.913167623E0,-6.350065674E0,9.316660643E0
1.970521917E0,8.868444498E0,-1.260790672E0,-8.534593627E0,1.237247709E1
1.980465917E0,1.132242677E1,9.534352899E-2,-1.012509710E1,1.518960268E1
1.990408917E0,1.240701744E1,2.541889894E-1,-1.223700614E1,1.742822461E1
