"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.535081542E0,-2.973821668E0,-8.305029017E0,-5.552248181E0,1.042327118E1
2.545025542E0,-6.226954302E-1,-5.389709619E0,-2.697343969E0,6.059074506E0
2.554969542E0,2.284938095E0,-2.238710008E0,1.618105835E-1,3.202959142E0
2.564913542E0,3.961553509E0,5.548305988E-2,-1.782356754E0,4.344396410E0
2.574857542E0,3.751762135E0,-5.543160439E-4,-6.439837976E0,7.453001582E0
2.584801542E0,3.250288549E0,-7.465847737E-1,-8.871114922E0,9.477259331E0
2.594742208E0,3.059574009E0,-5.876609606E-1,-9.230289499E0,9.741898313E0
2.604686208E0,3.095069532E0,-1.674736118E-1,-8.819371156E0,9.348198244E0
2.614630208E0,3.065132957E0,1.157818866E-1,-8.211844865E0,8.766004881E0
2.624574208E0,3.086769701E0,3.595569849E-1,-7.584274904E0,8.196258550E0
2.634518208E0,3.112146032E0,4.240242916E-1,-7.046620501E0,7.714927738E0
2.644462208E0,3.127006146E0,5.223352826E-1,-6.482561826E0,7.216273929E0
2.654406208E0,3.055962476E0,5.626921803E-1,-6.133621631E0,6.875815839E0
2.664350208E0,2.800717187E0,5.331912231E-1,-5.587772355E0,6.273078155E0
2.674294208E0,1.881469983E0,6.707148117E-1,-3.494053122E0,4.024698110E0
2.684238208E0,6.901018399E-1,8.418680763E-1,-1.764379489E0,2.073166030E0
2.694182208E0,3.499807075E-1,6.995556182E-1,-2.393028262E0,2.517627618E0
2.704126208E0,5.196920487E-1,6.338954794E-1,-2.912282939E0,3.025441327E0
2.714070208E0,8.865805650E-1,7.652637041E-1,-2.718769922E0,2.960297877E0
2.724014208E0,1.076067774E0,1.015003547E0,-2.127619343E0,2.591315906E0
2.733958208E0,7.654028678E-1,1.505424142E0,-1.313022680E0,2.139198905E0
2.743902208E0,1.529897663E-1,1.954672737E0,-4.219105232E-1,2.005532315E0
2.753846208E0,-4.171722320E-1,2.434973556E0,4.033690023E-1,2.503165085E0
2.763790208E0,-9.719385114E-1,2.711978381E0,1.104330949E0,3.085293836E0
2.773734208E0,-1.131701400E0,2.491641262E0,1.242840890E0,3.005607711E0
2.783678208E0,-9.392856127E-1,2.203541345E0,1.001096018E0,2.596159694E0
2.793622208E0,-6.304029375E-1,1.888490442E0,6.737558024E-1,2.101844641E0
2.803566208E0,-5.666516224E-1,1.535647230E0,5.611314122E-1,1.730368440E0
2.813510208E0,-1.256142136E0,1.237325211E0,8.465237756E-1,1.955880683E0
2.823454208E0,-3.291782438E0,6.990977812E-1,1.752129572E0,3.794012040E0
2.833397208E0,-6.215914174E0,-7.594965953E-1,3.295062726E0,7.076147431E0
2.843342208E0,-7.682598758E0,-2.691216087E0,4.697066287E0,9.398265766E0
2.853285208E0,-7.293500471E0,-3.307260017E0,5.299853702E0,9.603206090E0
2.863229208E0,-6.699895231E0,-1.818923779E0,5.635711922E0,8.941942109E0
2.873173208E0,-5.341885242E0,8.489607489E-1,5.518432564E0,7.727196792E0
2.883117208E0,-3.694494798E0,2.811306787E0,4.920347772E0,6.764803017E0
2.893061208E0,-2.489455572E0,3.740215931E0,4.253024637E0,6.186664919E0
2.903005208E0,-2.022628493E0,3.819453889E0,3.911967073E0,5.829471710E0
2.912949208E0,-2.129414730E0,2.751766344E0,3.323419383E0,4.811625661E0
2.922893208E0,-2.543071324E0,1.295499744E0,2.059261006E0,3.519387339E0
2.932837208E0,-3.062524222E0,2.242185009E-1,1.214324019E0,3.302107110E0
2.942781208E0,-4.352872569E0,-6.427429014E-1,8.648080190E-1,4.484251437E0
2.952725208E0,-5.977233170E0,-1.477189107E0,5.909111354E-1,6.185352051E0
2.962669208E0,-6.867748911E0,-2.281788785E0,5.436574468E-1,7.257279007E0
2.972613208E0,-7.505376669E0,-2.661533282E0,8.100250170E-1,8.004409964E0
2.982557208E0,-8.605293481E0,-3.018898146E0,1.453290806E0,9.234547963E0
2.992501208E0,-9.689610507E0,-3.244158036E0,2.379566802E0,1.049168487E1
3.002445208E0,-9.513675975E0,-2.908021488E0,3.382330957E0,1.050746317E1
3.012389208E0,-8.611510241E0,-2.386028268E0,4.249526833E0,9.894933948E0
3.022333208E0,-7.532773798E0,-1.839663852E0,4.742197436E0,9.089305843E0
3.032277208E0,-5.909615384E0,-7.770908672E-1,4.580083675E0,7.516953550E0
3.042221208E0,-4.525531199E0,1.611673898E-1,4.029752801E0,6.061791418E0
3.052165208E0,-3.522358031E0,6.389708626E-1,3.983382919E0,5.355616616E0
3.062109208E0,-2.191260146E0,6.412688184E-1,4.734109275E0,5.255914512E0
3.072053208E0,-8.972458863E-1,-1.215881717E-1,4.684108565E0,4.770818264E0
3.081997208E0,-7.578342319E-2,-1.665564761E0,3.622417924E0,3.987701182E0
3.091941208E0,2.457920954E-1,-2.810653653E0,1.197546018E0,3.065012916E0
3.101885208E0,-2.187534007E-1,-3.344940060E0,-1.448889168E0,3.651815559E0
3.111829208E0,-7.903111294E-1,-4.357636296E0,-3.388691266E0,5.576451763E0
3.121773208E0,-1.827168645E0,-6.271211877E0,-4.690984890E0,8.041889263E0
3.131717208E0,-3.241946619E0,-9.807733619E0,-4.737541299E0,1.136424895E1
3.141661208E0,-5.048162643E0,-1.410552600E1,-3.168046876E0,1.531294651E1
3.151605208E0,-5.351852406E0,-1.501922361E1,-2.442909689E0,1.613031958E1
3.161549208E0,-3.787271399E0,-1.267910008E1,-1.576212581E0,1.332619412E1
3.171493208E0,-1.070932750E0,-8.717037281E0,2.619213474E-1,8.786480450E0
3.181437208E0,1.430830042E0,-4.885208929E0,1.248590457E0,5.241327983E0
3.191381208E0,2.686440666E0,-2.034105992E0,5.097164065E-2,3.370036906E0
