"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.464556250E0,-7.690362691E0,2.344770899E0,1.387351609E0,8.158699245E0
1.474630250E0,-6.013529177E0,5.207461848E0,-1.493724740E0,8.093911641E0
1.484703250E0,-4.442531435E0,5.098607157E0,-4.270919749E0,7.998289567E0
1.494776250E0,-1.792555760E0,2.651470224E0,-3.117535411E0,4.467950038E0
1.504850250E0,1.212544127E0,2.439686412E-1,3.314169672E-1,1.280476928E0
1.514923250E0,3.265844189E0,-2.452939711E0,3.325235528E0,5.266862710E0
1.524997250E0,1.586360716E0,-1.074344015E-1,5.553571991E0,5.776698393E0
1.535070250E0,1.788655082E0,1.539693503E0,3.030132693E0,3.840787319E0
1.545144250E0,2.095525146E0,2.806279936E0,-8.655760507E-1,3.607721527E0
1.555217250E0,1.408582556E-1,4.159561865E0,-4.234999133E0,5.937761667E0
1.565291250E0,-4.113674086E-1,3.988403338E0,-4.643077483E0,6.134717014E0
1.575364250E0,-1.392754143E-1,2.376519526E0,-5.664795680E-1,2.447068000E0
1.585437250E0,2.801985741E-3,-1.303237950E0,4.384752173E0,4.574329309E0
1.595511250E0,-4.339101791E-1,-3.656315403E0,4.942753133E0,6.163418605E0
1.605584250E0,-2.169372556E0,-2.896842197E0,1.739992361E0,4.015650061E0
1.615658250E0,-3.678775728E0,4.152838737E-1,-2.220591387E0,4.317045015E0
1.625731250E0,-2.776134031E0,4.246625737E0,-2.368543485E0,5.599173916E0
1.635805250E0,-2.257245682E0,4.062761210E0,-3.163754143E0,5.622323985E0
1.645878250E0,-2.817135292E0,4.008016654E0,-5.459662199E-1,4.929353696E0
1.655952250E0,-2.512578387E0,4.203089708E0,-7.204456732E-2,4.897367013E0
1.666025250E0,-1.648560473E0,4.425558137E0,-8.345042391E-1,4.795801683E0
1.676098250E0,-2.748559731E-1,4.336395700E0,-8.197676477E-1,4.421752194E0
1.686172250E0,1.884093336E0,3.860657464E0,-5.304124801E-1,4.328489477E0
1.696245250E0,4.324500124E0,3.036281918E0,1.064099839E0,5.390048022E0
1.706319250E0,5.906447362E0,2.331301838E0,2.424897634E0,6.797147728E0
1.716392250E0,5.773859408E0,2.043591346E0,3.265027918E0,6.940758270E0
1.726466583E0,4.455580081E0,2.454801464E0,4.325029882E0,6.677134683E0
1.736539583E0,2.705331851E0,2.710899569E0,5.263838947E0,6.509669527E0
